title,link,company,published_date,ai_summary,ai_topic,publisher,industry,publisher_topic
Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=bda7f26e32d2427b7444e2c5f52e2dd89&lang=en&src=notices,Nasdaq Vilnius,2024-09-20 17:10:00+03:00,"Hold onto your seats! Starting September 23rd, 2024, Eleving Group launches a thrilling public offer for up to 24.5 million shares at just EUR 1.85 each! Retail investors, this is your chance to snag a piece of the action—don’t miss the October 8th deadline! Get ready to subscribe!",initial_public_offering,Nasdaq Baltic,,
Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b950e2130a6b2aae98f5bf73f5915a543&lang=en&src=notices,Nasdaq Tallinn,2024-09-20 17:10:00+03:00,"Ladies and gentlemen, it’s game time! Eleving Group kicks off its public offer subscription on September 23rd, 2024, at 10:00 EEST! With up to 24.5 million shares at an unbeatable price of EUR 1.85, retail investors can jump in before the closing whistle on October 8th! Don’t miss out!",initial_public_offering,Nasdaq Baltic,,
DelfinGroup announces fixing of coupon rate for the floating-rate bonds effective from 25 September 2024,https://view.news.eu.nasdaq.com/view?id=b35dd3728ce809c9a301511505cf79c59&lang=en&src=listed,DelfinGroup,2024-09-20 16:41:59+03:00,"In a thrilling update, DelfinGroup announces its new variable bond coupon rate! Kicking off from September 25, 2024, these bonds promise quarterly interest excitement on the Nasdaq Riga Baltic First North market. With a solid track record since 2010, DelfinGroup is a fintech powerhouse redefining the financial game!",bond_fixing,Nasdaq Baltic,,
Information regarding acquisition and disposal of a major holding,https://view.news.eu.nasdaq.com/view?id=bf8ce8b33bed3eaf0a9e09b8c0f61e506&lang=en&src=listed,SAF Tehnika,2024-09-20 16:26:05+03:00,"In a thrilling market shift, SAF Tehnika announces major shareholder action! Koka zirgs Ltd. makes a bold move acquiring shares while Andrejs Grišāns opts to cash in. This dynamic play is set to shake things up for the Latvian wireless data giant! Stay tuned for more updates!",mergers_acquisitions,Nasdaq Baltic,,
UAB Legal Balance financial information for 2024 H1,https://view.news.eu.nasdaq.com/view?id=b35a58fcca7bea817aa00b4b1a0ae23ad&lang=en&src=listed,Legal Balance,2024-09-20 16:18:36+03:00,"Hear that roar! Revenue soars to €4.471 million, a thrilling 10% growth! However, profit before taxes takes a hit at €1.004 million, down 31%. Meanwhile, the eSkolos.lt platform flexes with a €41 million debt portfolio, up 36%. Investments are in play, making moves worth over €6.5 million!",financial_results,Nasdaq Baltic,,
Changes in Iute Group's financial calendar for 2024,https://view.news.eu.nasdaq.com/view?id=b0fc1b847b8024811bffb324f6b0b9af1&lang=en&src=listed,IuteCredit Finance S.a r.l,2024-09-20 11:30:00+03:00,"In an exciting twist for 2024, Iute Group reshapes its financial calendar! This dynamic fintech powerhouse, established in Estonia in 2008, is charging through the Balkans with consumer finance and payment solutions. Don’t miss what’s next for this market mover—stay tuned for the action!",financial_calendar,Nasdaq Baltic,,
Prolongation of authorities of members of the Supervisory Board of KIA Auto Aktsiaselts,https://view.news.eu.nasdaq.com/view?id=ba4e3c9ea89f2446dbf568dabbbae376d&lang=en&src=listed,TKM Grupp,2024-09-20 09:45:00+03:00,"In a strategic play, TKM Auto OÜ extends the game for KIA Auto's Supervisory Board until September 21, 2027! Aarne Õllek leads the pack, joined by Jüri Käo, Enn Kunila, Raul Puusepp, and Kristo Anton, ensuring KIA's dominance in the Baltics. Stay tuned for the drive ahead!",management_change,Nasdaq Baltic,,
Notice of address change for IPAS “Indexo” and INDEXO Bank,https://view.news.eu.nasdaq.com/view?id=b1a4b99f1352cea3bf703e243e9c8b61d&lang=en&src=listed,INDEXO,2024-09-20 09:15:38+03:00,"In a thrilling home turf switch, INDEXO and INDEXO Bank announce their new legal address at Roberta Hirša iela 1, Riga! This financial powerhouse, boasting over 137K clients and €1.19 billion managed, is set to redefine banking in Latvia with top-notch services for individuals and businesses alike!",regulatory_filings,Nasdaq Baltic,,
On Transactions Under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b74a8ae6c489a7fa86faf41b6a75435b7&lang=en&src=listed,MADARA Cosmetics,2024-09-20 08:46:15+03:00,"In a thrilling announcement, AS MADARA Cosmetics, a Northern European skincare powerhouse, gains momentum as Sustainability Manager Anete Vabule engages in securities transactions! With shares racing on Nasdaq Baltic First North since 2017, they've solidified their status as Latvia's natural beauty leader. The excitement continues to build!",exchange_announcement,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 19, 2024",https://view.news.eu.nasdaq.com/view?id=b3fbd261604176b86787f051dc1858211&lang=en&src=listed,Nter Asset Management,2024-09-20 08:37:31+03:00,"""Exciting updates from Vilnius! The OMX Baltic Benchmark Fund's share price stands strong at €12.6065, but wait—no shares issued or redeemed yesterday! A total of 125,362 units are ready for action. Stay tuned for more market thrills from Nter Asset Management!""",fund_data_announcement,Nasdaq Baltic,,
"Establishment of a subsidiary, and conclusion of purchase contract for the properties of the ELP Logistics OÜ logistics center",https://view.news.eu.nasdaq.com/view?id=b1c28f1f51ff52a85630dbaec4a3b5cc3&lang=en&src=listed,EfTEN Real Estate Fund,2024-09-20 08:30:00+03:00,"In a thrilling real estate face-off, EfTEN Härgmäe OÜ has clinched a deal for two prime properties in Tallinn, sealing it for a whopping €8.8 million! With a solid partnership with Conus Assets OÜ and ELP Logistics set for a long-term lease, this acquisition is a game-changer before the October buzzer!",mergers_acquisitions,Nasdaq Baltic,,
"AB ""Pieno žvaigždės"" Unaudited Financial Results for the First Six Months of 2024",https://view.news.eu.nasdaq.com/view?id=b5012d284a5945cbc94f2150e29f8f2b2&lang=en&src=listed,Pieno Zvaigzdes,2024-09-19 19:00:00+03:00,"Ladies and gentlemen, AB ""Pieno žvaigždės"" kicks off 2024 with a solid performance, racking up sales of 101.9 million EUR—a thrilling 3.9% increase! However, EBITDA and net profit see slight dips. It’s a mixed bag, but stay tuned for the second half of the season!",financial_results,Nasdaq Baltic,,
Draft decisions of the of Shareholders Meeting to be held on 03 October 2024,https://view.news.eu.nasdaq.com/view?id=ba2f55453df9bb9eed698f83f4896885d&lang=en&src=listed,Utenos Trikotazas,2024-09-19 17:00:00+03:00,"In a thrilling boardroom showdown, AB Utenos Trikotažas selects Grant Thornton Baltic UAB as their auditor for 2024-2025! With a solid first-year fee of €32,900 plus VAT, escalating to €34,300 the next, the financial play is set! Stay tuned for more financial game-changers!",annual_general_meeting,Nasdaq Baltic,,
Deal of Latvian companies to result in state-of-the-art wind power plants,https://view.news.eu.nasdaq.com/view?id=bc7c545030c880b270eaf322976b06bf7&lang=en&src=listed,Latvenergo,2024-09-19 16:14:05+03:00,"🏗️⚡ Big news from Riga! Latvenegro AS scores a massive win, acquiring 100% of Laflora Energy to launch a 108.8 MW wind power plant! With 16 towering Nordex turbines set to rise in 2026 and local manufacturing, this project is set to power over 160,000 homes—talk about a game changer! 🌬️🌍",capital_investment,Nasdaq Baltic,,
On Transactions under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b8b643fa38eb086235e794a9114e62cae&lang=en&src=listed,SAF Tehnika,2024-09-19 16:07:05+03:00,"In a thrilling twist in the stock arena, JSC “SAF Tehnika” announces a strategic share trade involving “Koka zirgs” Ltd and Andrejs Grišāns! The ISO-certified wireless titan continues to dominate on Nasdaq Riga, bolstering its global presence. Stay tuned for the next play!",exchange_announcement,Nasdaq Baltic,,
Information on a significant transactions of the subsidiary companies,https://view.news.eu.nasdaq.com/view?id=b64e3bd4dab7cc79a86db925a4fc3cdcc&lang=en&src=listed,Amber Beverage Group Holding S.à r.l.,2024-09-19 14:18:41+03:00,"In a strategic play, Amber Beverage Group is swapping a €15 million overdraft for slick new factoring agreements with BluOr Bank! This game-changing move promises better financing conditions, setting the stage for a thrilling boost in commercial activity for ABG and its subsidiaries. Stay tuned for the action!",financing_agreements,Nasdaq Baltic,,
Decisions of the Shareholder's Meeting of Latvenergo AS,https://view.news.eu.nasdaq.com/view?id=b01f48992165056cf63311ca8e6083fdf&lang=en&src=listed,Latvenergo,2024-09-19 11:42:41+03:00,"In a thrilling showdown on September 17, the Latvenergo AS Shareholder’s Meeting voted unanimously to boost civil liability insurance for board members, greenlight a dynamic donation plan, and champion renewable energy projects! The Ministry of Economics, holding all the cards, played a key role in this electrifying event!",annual_general_meeting,Nasdaq Baltic,,
Purchase of own shares of Rokiskio Suris AB,https://view.news.eu.nasdaq.com/view?id=bdae0c63c60c82c4af6a220520f026ec2&lang=en&src=notices,Nasdaq Vilnius,2024-09-19 10:03:09+03:00,"Get ready for an exciting week in finance! Rokiskio Suris AB launches its share buyback procedure on September 23, with prices at €2.20 per share. Will they buy up to 3.2 million shares? Tune in for the action until September 27—don’t miss it!",shares_issue,Nasdaq Baltic,,
The new EPSO-G independent board member was elected,https://view.news.eu.nasdaq.com/view?id=b741ff89ab6aa777a8118c585fc717b20&lang=en&src=listed,EPSO-G,2024-09-19 09:45:00+03:00,"In a power move for the energy sector, EPSO-G has appointed Rasa Balevičienė as their new board member! This strategic shift comes from Lithuania's Ministry of Energy, ready to energize their six dynamic subsidiaries. Stay tuned as EPSO-G gears up for electrifying innovations ahead! 💡⚡",management_change,Nasdaq Baltic,,
Primary placement auction of additional offers of Lithuanian Government Eurobonds,https://view.news.eu.nasdaq.com/view?id=be9334529c1e8b854950289a61a92b2e4&lang=en&src=notices,Nasdaq Vilnius,2024-09-19 09:41:52+03:00,"Get ready, investors! The Lithuanian Government hits the auction block on September 30, 2024, offering Eurobonds galore! Bid competitively or non-competitively for a slice of this exciting opportunity. With a potential boost of up to €5 million, this is a match you don't want to miss!",bond_fixing,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 18, 2024",https://view.news.eu.nasdaq.com/view?id=b04888ecb1d0d87c1b11e71162c89f4dd&lang=en&src=listed,Nter Asset Management,2024-09-19 09:37:56+03:00,"In a thrilling update from Vilnius, the OMX Baltic Benchmark Fund's share price stands at 12.5964 EUR as of September 18, 2024! All units issued and redeemed remain at zero, but the excitement builds with 125,362 units ready for trading. Stay tuned for more market action!",fund_data_announcement,Nasdaq Baltic,,
Enlight Research sketches possible scenarios for sale of INVL Technology,https://view.news.eu.nasdaq.com/view?id=b52ca3b8da8145dbf85f06845b1b62d23&lang=en&src=listed,INVL Technology,2024-09-19 09:14:00+03:00,"In a thrilling update, Enlight Research reports soaring optimism for INVL Technology as its shares rally on anticipated asset sales! Analyst Mattias Wallander predicts a major exit by year-end, promising juicy returns for shareholders! With a solid net asset value and key IT holdings, INVL is set for an electrifying finish!",analyst_coverage,Nasdaq Baltic,,
"AS VIRŠI-A acquires 20% of the capital shares of the biomethane plant SIA Livland Biomethane""",https://view.news.eu.nasdaq.com/view?id=b2564db5f0c0c843885a87e7f8a5b5553&lang=en&src=listed,VIRŠI-A,2024-09-18 18:48:06+03:00,"In a game-changing move, Virši-A has snagged a 20% slice of Livland Biomethane, shaking up the scoreboard as previous owners step back! With Jānis Vība eyeing a bigger stake and a new board lead, they’re ramping up to become champions in biomethane production through cutting-edge tech!",mergers_acquisitions,Nasdaq Baltic,,
JSC Development Finance Institution Altum - Decisions Passed by Extraordinary Shareholders' Meeting,https://view.news.eu.nasdaq.com/view?id=ba84fb9e4b5efb2ebeca5abff94f45ebc&lang=en&src=listed,Attīstības finanšu institūcija Altum,2024-09-18 17:01:49+03:00,"In a gripping showdown at Dome Square in Riga, ALTUM's extraordinary shareholders' meeting tackled key issues via remote connection! They focused on appointing a new Acting Head of Internal Audit, adjusting budgets, and setting audit fees with PricewaterhouseCoopers. Stay tuned for the financial power plays that will shape Latvia's economy!",management_change,Nasdaq Baltic,,
On the acquisition of own shares of Rokiškio sūris AB,https://view.news.eu.nasdaq.com/view?id=b9d5f2cd8935711f050364c3982aa8bdd&lang=en&src=listed,Rokiskio Suris,2024-09-18 16:28:55+03:00,"In a bold move, Rokiškio sūris AB is executing a thrilling buyback of 3.2 million shares for €2.20 each! This comes on the heels of Fonterra's exit from the capital arena, ensuring all shareholders have a fair shot. The game is on—will investors seize the chance?",shares_issue,Nasdaq Baltic,,
Information about shares issued by INVL Technology and votes granted,https://view.news.eu.nasdaq.com/view?id=b641b667a9998c53ddfc3f67336370d46&lang=en&src=listed,INVL Technology,2024-09-18 16:02:00+03:00,"In a thrilling move, INVL Technology just passed 206 shares to its subsidiary employees on September 17, 2024! With this strategic play, they’ve empowered their workforce under previously signed option agreements. For more details, the go-to is Kazimieras Tonkūnas—contact him directly to learn more!",shares_issue,Nasdaq Baltic,,
Procedure for listing of BluOr Bank AS bonds initiated,https://view.news.eu.nasdaq.com/view?id=b41fc1781b096121b65d7246fd261ac64&lang=en&src=notices,Nasdaq Riga,2024-09-18 15:54:55+03:00,"In a thrilling showdown on September 18, 2024, Nasdaq Riga gears up for the potential debut of BluOr Bank AS bonds on the Nasdaq Baltic Bond List! Stay tuned for the board's game-changing resolution. Exciting times ahead in the trading arena! Let's see if it scores big!",initial_public_offering,Nasdaq Baltic,,
Changes in the Supervisory Board of Mainor Ülemiste AS,https://view.news.eu.nasdaq.com/view?id=b7740c94bb33dcc82eeab9a3eb6696804&lang=en&src=listed,Mainor Ülemiste,2024-09-18 15:13:01+03:00,"In a thrilling shake-up, Mainor Ülemiste AS announces a brand-new Supervisory Board lineup! With Guido Pärnits at the helm, the revamped team is set to supercharge the hottest business hub in the Baltics, Ülemiste City—a sprawling 30-hectare powerhouse housing 500 companies and 17,000 individuals! Catch the action!",management_change,Nasdaq Baltic,,
"Construction contract (Apartment building in Ovruch, Ukraine)",https://view.news.eu.nasdaq.com/view?id=be25d16c172785252f6271310081ead2f&lang=en&src=listed,Nordecon,2024-09-18 14:00:00+03:00,"In a thrilling move for humanitarian housing, Nordecon AS and Eurocon Ukraine team up with ESTDEV to kick off a 1.8 million euro reconstruction project in Ovruch, Ukraine! This ambitious 275-day transformation will create a new apartment complex for those in need! Let the rebuilding begin!",business_contracts,Nasdaq Baltic,,
Listing of Baltic Horizon Fund additional fund units on Baltic Fund List,https://view.news.eu.nasdaq.com/view?id=be5ea6da7c8628bec5c910b8d4b392172&lang=en&src=notices,Nasdaq Tallinn,2024-09-18 13:12:49+03:00,"In a thrilling move, Nasdaq Tallinn has just approved the additional listing of Baltic Horizon Fund's 23,927,085 units! Get ready as this powerhouse hits the Baltic Fund List on September 20, 2024, boosting total units to a staggering 143,562,514! The excitement is building—don’t miss it!",shares_issue,Nasdaq Baltic,,
“Sostinės bokštai“ announces the signing of the first lease agreements for the Hero business center,https://view.news.eu.nasdaq.com/view?id=b82671d8ceba4259d9a4d9927d771927a&lang=en&src=listed,Sostinės bokštai,2024-09-18 11:57:01+03:00,"Ladies and gentlemen, the excitement is building at the Hero Business Center in Vilnius! With the first leases signed, including a trendy lunch spot and a vibrant early education school, this ambitious project is on track to transform the city's skyline by September 2025. Investment is skyrocketing—watch out for this game-changer!",capital_investment,Nasdaq Baltic,,
Novaturas presents next summer destinations and the widest range of travels in the region,https://view.news.eu.nasdaq.com/view?id=b8200bee349cfceeee8b503a9416d81f3&lang=en&src=listed,Novaturas,2024-09-18 10:00:00+03:00,"Ladies and gentlemen, get ready for an epic summer showdown! Novaturas Group, the Baltic States' tour giant, kicks off its 2025 holiday program with an unmatched lineup of thrilling trips and exclusive benefits. With 26 seasons under their belt, they’re redefining travel for Lithuanian adventurers! Grab your bags and let's go!",calendar_of_events,Nasdaq Baltic,,
"DelfinGroup bond issue is 1.5 times oversubscribed, demand reaches 22.3 million euros",https://view.news.eu.nasdaq.com/view?id=b4e5c4392333c63facdae718587a16e28&lang=en&src=listed,DelfinGroup,2024-09-18 09:37:05+03:00,"In a thrilling financial showdown, Latvia's DelfinGroup has secured a stunning €15 million in a public bond offering! With demand soaring to €22.3 million from over 2,700 investors, the crowd roars with excitement! Chairman Didzis Ādmīdiņš celebrates overwhelming confidence from shareholders and bondholders alike. What a performance!",bond_fixing,Nasdaq Baltic,,
INVL BSGF Co-Invest Fund II established,https://view.news.eu.nasdaq.com/view?id=b03e131c60ca57b2ebd27a1d4c8cb2679&lang=en&src=listed,Invalda INVL,2024-09-18 09:15:00+03:00,"In a thrilling move, INVL Asset Management launches the INVL BSGF Co-Invest Fund II, targeting savvy investors! With the Baltic Sea Growth Fund now hitting its 10th portfolio score, this is a golden co-investment chance—minimum stake just EUR 125,000. Don't miss your shot at growth!",fund_data_announcement,Nasdaq Baltic,,
KN Energies subsidiary starts operations in Germany,https://view.news.eu.nasdaq.com/view?id=b6db905acfe8f97c623ff04c4873edf80&lang=en&src=listed,KN Energies,2024-09-18 09:00:00+03:00,"In a thrilling move, AB KN Energies launches its German subsidiary, KN Energies Deutschland GmbH, ready to support the second floating LNG terminal in Wilhelmshaven! This powerhouse team, equipped with top specialists, is on the hunt for talent to ensure a seamless energy game in Germany!",geographic_expansion,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 17, 2024",https://view.news.eu.nasdaq.com/view?id=b36c27a1f4a9e022f35ef5913729d20ee&lang=en&src=listed,Nter Asset Management,2024-09-18 08:11:34+03:00,"""Get ready for the latest action! The OMX Baltic Benchmark Fund closed at €12.6048 on September 17, 2024, with no new shares issued or redeemed. A solid lineup of 125,362 units ready to trade! Stay tuned for more thrilling updates from Vilnius!""",fund_data_announcement,Nasdaq Baltic,,
On Transactions under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b3df985df6e0d4d776eba42e51e8991ff&lang=en&src=listed,SAF Tehnika,2024-09-17 17:14:20+03:00,"In a thrilling move, JSC “SAF Tehnika” just scored with a share purchase by “Koka zirgs” Ltd! This ISO-certified wireless powerhouse, proudly made in Latvia, continues its global expansion, serving markets from North America to Asia. Stay tuned as this action unfolds!",mergers_acquisitions,Nasdaq Baltic,,
