title,link,company,published_date,ai_summary,ai_topic,source,industry,publisher_topic
23.09.2024 Moody's publishes an updated credit analysis of Latvenergo AS,https://view.news.eu.nasdaq.com/view?id=b3bce1a6785a1fbf775060cc4165a477f&lang=en&src=listed,Latvenergo,2024-09-23 14:10:52+03:00,"Ladies and gentlemen, hold onto your seats! Moody's just reaffirmed Latvenergo's solid Baa2 credit rating with a stable outlook, keeping the momentum strong since 2015! This powerhouse in the Baltics continues to shine bright in energy markets. For all the details, dive into their investor section now!",analyst_coverage,Nasdaq Baltic,,
The results of the primary placement auction of Lithuanian Government securities,https://view.news.eu.nasdaq.com/view?id=b4f119d33d5c2178558c5234b114c9d45&lang=en&src=notices,Nasdaq Vilnius,2024-09-23 12:11:00+03:00,"In a thrilling showdown on Nasdaq Vilnius, the Lithuanian Government secured prime placement in the securities auction on September 23, 2024! Investors eagerly anticipate the admission of these hot commodities to the regulated market, igniting excitement in Baltic finance. Stay tuned for the action!",bond_fixing,Nasdaq Baltic,,
Eleving Group - start of the Initial Public Offering (IPO),https://view.news.eu.nasdaq.com/view?id=b1e7a32651dd7ffb052c84dae717d6d6d&lang=en&src=listed,Eleving Group,2024-09-23 10:00:00+03:00,"Ladies and gentlemen, Eleving Group is on the launchpad with their IPO, running until October 8! With up to 16.9 million new shares and a retail price range of €1.60 to €1.85, excitement is building for the Nasdaq Riga debut around October 16. Don’t miss out on this fintech showdown!",initial_public_offering,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 20, 2024",https://view.news.eu.nasdaq.com/view?id=bda9ba07ae4656e796d685ef4d86cb6e1&lang=en&src=listed,Nter Asset Management,2024-09-23 09:51:06+03:00,"In a thrilling update from Vilnius, the OMX Baltic Benchmark Fund has made its move! As of September 20, 2024, the share price stands strong at 12.5865 EUR. With zero units issued or redeemed, the total shares in play hit 125,362! A game of strategy unfolds!",fund_data_announcement,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 39/2024,https://view.news.eu.nasdaq.com/view?id=b17694aaf03a92a5f419c89ebf64b0c19&lang=en&src=notices,Nasdaq Tallinn,2024-09-23 09:00:00+03:00,"Ladies and gentlemen, get ready for action in Tallinn, Estonia! Nasdaq Baltic is the arena where exchanges meet innovation. Catch all the thrilling updates and investor insights at their official calendar—your front-row seat to the financial showdown of the Baltic states! Don't miss out!",financial_calendar,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 39/2024,https://view.news.eu.nasdaq.com/view?id=ba4c00a1fa7458bc6bff9a7c9083b7676&lang=en&src=notices,Nasdaq Vilnius,2024-09-23 09:00:00+03:00,"🎉 Ladies and gentlemen, welcome to the Nasdaq Baltic showdown! The excitement is heating up as exchanges across Vilnius, Riga, and Tallinn gear up for an electrifying 2024. Don’t miss the action—check out the investor calendar now for insider info and updates! 🌟📈 #NasdaqBaltic #FinanceFrenzy",financial_calendar,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 39/2024,https://view.news.eu.nasdaq.com/view?id=b3a4057ce68ebc78285ad2daa302ca538&lang=en&src=notices,Nasdaq Riga,2024-09-23 09:00:00+03:00,"Live from Latvia! The Nasdaq Baltic investor calendar is heating up! Keep your eyes on the prize as Tallinn, Riga, and Vilnius showcase their dynamic markets. Don’t miss out on the action—check the links for all the latest updates! It’s a thrilling time in the Baltic exchanges!",financial_calendar,Nasdaq Baltic,,
CORRECTION: Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b2123837b1d137ffa73127d20cd525bfc&lang=en&src=notices,Nasdaq Riga,2024-09-20 20:30:00+03:00,"Get ready, investors! The Eleving Group hits the market with a thrilling public offer starting September 23rd at 11:00 EEST! With 24.5 million shares up for grabs at just €1.85 each, don’t miss your chance to make a move before the closing whistle on October 8th!",initial_public_offering,Nasdaq Baltic,,
CORRECTION: Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b8c2f934f96632ab1ec60f394c0c1c436&lang=en&src=notices,Nasdaq Tallinn,2024-09-20 20:30:00+03:00,"Get ready for the action! Starting September 23, 2024, Eleving Group launches an electrifying public share offer! With up to 24.5 million shares at just €1.85, retail investors can jump in. The clock’s ticking—don’t miss your chance to grab a piece of the excitement before October 8th!",initial_public_offering,Nasdaq Baltic,,
CORRECTION: Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b19f3b27b067730e85e5239e595e5da59&lang=en&src=notices,Nasdaq Vilnius,2024-09-20 20:30:00+03:00,"Get ready for a thrilling showdown! Starting September 23, Eleving Group kicks off its massive share subscription frenzy! With 24.5 million shares on the line at €1.85 each, retail investors have their chance to join in. Don't miss your shot—secure your stake by October 8! Game on!",initial_public_offering,Nasdaq Baltic,,
Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b492425f9d2ddef4a4924a03b1b18cec5&lang=en&src=notices,Nasdaq Riga,2024-09-20 17:10:00+03:00,"Ladies and gentlemen, get ready for the Eleving Group public offer showdown! Starting September 23rd, investors can grab up to 24.5 million shares at just €1.85 each! The clock is ticking—subscription closes October 8th! Don’t miss your chance to stake your claim!",initial_public_offering,Nasdaq Baltic,,
Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=bda7f26e32d2427b7444e2c5f52e2dd89&lang=en&src=notices,Nasdaq Vilnius,2024-09-20 17:10:00+03:00,"Ladies and gentlemen, mark your calendars! The Eleving Group is launching its blockbuster public offer on September 23rd, 2024! With a maximum of 24.5 million shares up for grabs at just €1.85 each, retail investors have a golden opportunity. Don't miss out—subscriptions close October 8th!",initial_public_offering,Nasdaq Baltic,,
Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b950e2130a6b2aae98f5bf73f5915a543&lang=en&src=notices,Nasdaq Tallinn,2024-09-20 17:10:00+03:00,"Get ready for the showdown! The Eleving Group's public offer launches on September 23, 2024, with up to 24.5 million shares at just EUR 1.85 each! The excitement builds until the final whistle on October 8—don't miss your chance to join this thrilling IPO action!",initial_public_offering,Nasdaq Baltic,,
DelfinGroup announces fixing of coupon rate for the floating-rate bonds effective from 25 September 2024,https://view.news.eu.nasdaq.com/view?id=b35dd3728ce809c9a301511505cf79c59&lang=en&src=listed,DelfinGroup,2024-09-20 16:41:59+03:00,"In a thrilling financial showdown, DelfinGroup announces a dynamic new coupon rate for its bonds, effective from September 25 to December 24, 2024! A seasoned player in the fintech arena since 2009, DelfinGroup consistently scores profits and dividends, showcasing its prowess in the Baltic market! Stay tuned!",bond_fixing,Nasdaq Baltic,,
Information regarding acquisition and disposal of a major holding,https://view.news.eu.nasdaq.com/view?id=bf8ce8b33bed3eaf0a9e09b8c0f61e506&lang=en&src=listed,SAF Tehnika,2024-09-20 16:26:05+03:00,"In a thrilling corporate shake-up, SAF Tehnika announces major moves in its shareholder lineup! ""Koka zirgs"" Ltd. ups their game by acquiring significant shares, while Andrejs Grišāns makes a strategic exit. Stay tuned as this wireless data giant continues to dominate the global market!",mergers_acquisitions,Nasdaq Baltic,,
UAB Legal Balance financial information for 2024 H1,https://view.news.eu.nasdaq.com/view?id=b35a58fcca7bea817aa00b4b1a0ae23ad&lang=en&src=listed,Legal Balance,2024-09-20 16:18:36+03:00,"In a thrilling first half of 2024, revenue surged to 4.471 million euros, marking a solid 10% growth! However, profit took a hit, dropping 31%. Meanwhile, the eSkolos.lt platform soared with a 41 million euro debt portfolio, up 36%. It’s a high-stakes game in the financial arena!",financial_results,Nasdaq Baltic,,
Changes in Iute Group's financial calendar for 2024,https://view.news.eu.nasdaq.com/view?id=b0fc1b847b8024811bffb324f6b0b9af1&lang=en&src=listed,IuteCredit Finance S.a r.l,2024-09-20 11:30:00+03:00,"In an exciting update, Iute Group gears up for 2024 with a revamped financial calendar! This Estonian fintech powerhouse, specializing in consumer finance across Southeast Europe, is ready to tackle the market. Stay tuned for game-changing moves on the Frankfurt and Nasdaq Baltic arenas! Get ready for action!",financial_calendar,Nasdaq Baltic,,
Prolongation of authorities of members of the Supervisory Board of KIA Auto Aktsiaselts,https://view.news.eu.nasdaq.com/view?id=ba4e3c9ea89f2446dbf568dabbbae376d&lang=en&src=listed,TKM Grupp,2024-09-20 09:45:00+03:00,"In a strategic play, TKM Auto OÜ has extended the game for KIA Auto Aktsiaselts’ Supervisory Board, locking in their leadership until September 21, 2027! Aarne Õllek leads the charge alongside Jüri Käo, Enn Kunila, Raul Puusepp, and Kristo Anton. The road ahead looks thrilling for KIA in the Baltics!",management_change,Nasdaq Baltic,,
Notice of address change for IPAS “Indexo” and INDEXO Bank,https://view.news.eu.nasdaq.com/view?id=b1a4b99f1352cea3bf703e243e9c8b61d&lang=en&src=listed,INDEXO,2024-09-20 09:15:38+03:00,"In a thrilling development, INDEXO has officially relocated its headquarters to Roberta Hirša iela 1, Riga! With a powerhouse portfolio, including over 137,000 customers and €1.19 billion under management, this robust financial services group is set to revolutionize banking in Latvia! Stay tuned for more!",law_legal_issues,Nasdaq Baltic,,
On Transactions Under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b74a8ae6c489a7fa86faf41b6a75435b7&lang=en&src=listed,MADARA Cosmetics,2024-09-20 08:46:15+03:00,"In a thrilling move, AS MADARA Cosmetics announces a pivotal update from Sustainability Manager Anete Vabule! Trading on Nasdaq Baltic's First North Market, this Northern European powerhouse is reshaping the cosmetics game since 2006. With a commitment to natural beauty, MÁDARA leads the charge in Latvia! Stay tuned!",exchange_announcement,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 19, 2024",https://view.news.eu.nasdaq.com/view?id=b3fbd261604176b86787f051dc1858211&lang=en&src=listed,Nter Asset Management,2024-09-20 08:37:31+03:00,"""Get ready for the action! On September 19, the OMX Baltic Benchmark Fund priced in at 12.6065 EUR but with no shares issued or redeemed! Holding strong with a whopping 125,362 units in play. The trading arena is buzzing – can they make a move? Stay tuned!""",fund_data_announcement,Nasdaq Baltic,,
"Establishment of a subsidiary, and conclusion of purchase contract for the properties of the ELP Logistics OÜ logistics center",https://view.news.eu.nasdaq.com/view?id=b1c28f1f51ff52a85630dbaec4a3b5cc3&lang=en&src=listed,EfTEN Real Estate Fund,2024-09-20 08:30:00+03:00,"In a thrilling maneuver, EfTEN Härgmäe OÜ has sealed the deal for prime properties at Härgmäe and Piimamehe streets in Tallinn for €8.8 million! With an upfront payment of €500,000, they’ll fuel logistics operations for ELP Logistics. Closing expected by the end of October—what a power play!",mergers_acquisitions,Nasdaq Baltic,,
"AB ""Pieno žvaigždės"" Unaudited Financial Results for the First Six Months of 2024",https://view.news.eu.nasdaq.com/view?id=b5012d284a5945cbc94f2150e29f8f2b2&lang=en&src=listed,Pieno Zvaigzdes,2024-09-19 19:00:00+03:00,"In a thrilling first half of 2024, AB ""Pieno žvaigždės"" notched impressive sales of €101.9 million, racing 3.9% ahead of last year! Despite a slip in EBITDA and net profit, the scoreboard still shows solid growth. Stay tuned for the next quarter showdown!",financial_results,Nasdaq Baltic,,
Draft decisions of the of Shareholders Meeting to be held on 03 October 2024,https://view.news.eu.nasdaq.com/view?id=ba2f55453df9bb9eed698f83f4896885d&lang=en&src=listed,Utenos Trikotazas,2024-09-19 17:00:00+03:00,"In a thrilling board meeting showdown, AB Utenos Trikotažas has proposed Grant Thornton Baltic UAB as their new auditor for the 2024-2025 seasons! Will they tackle the financial playbook effectively? With fees set at €32,900 and €34,300, the stakes are high! Stay tuned for the results!",annual_general_meeting,Nasdaq Baltic,,
Deal of Latvian companies to result in state-of-the-art wind power plants,https://view.news.eu.nasdaq.com/view?id=bc7c545030c880b270eaf322976b06bf7&lang=en&src=listed,Latvenergo,2024-09-19 16:14:05+03:00,"In an electrifying move, Latvenergo has snagged 100% ownership of Laflora Energy to launch an ambitious 108.8 MW wind farm at Kaigi Bog! With 16 towering Nordex turbines set to rise by 2026, this powerhouse will energize 160,000 homes and mark a historic local manufacturing milestone!",capital_investment,Nasdaq Baltic,,
On Transactions under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b8b643fa38eb086235e794a9114e62cae&lang=en&src=listed,SAF Tehnika,2024-09-19 16:07:05+03:00,"In a thrilling play in the financial arena, JSC “SAF Tehnika” sees action as “Koka zirgs” Ltd and Andrejs Grišāns tackle share trades! This Latvia-based wireless data transmission powerhouse, listed on Nasdaq Riga since ’04, continues to dominate globally. Stay tuned for more updates!",exchange_announcement,Nasdaq Baltic,,
Information on a significant transactions of the subsidiary companies,https://view.news.eu.nasdaq.com/view?id=b64e3bd4dab7cc79a86db925a4fc3cdcc&lang=en&src=listed,Amber Beverage Group Holding S.à r.l.,2024-09-19 14:18:41+03:00,"In an electrifying financial play, Amber Beverage Group is switching gears! They're replacing a hefty €15 million overdraft with slick new factoring services, enhancing cash flow for a winning strategy. With this bold move alongside BluOr Bank, ABG is set to boost its momentum in the beverage game!",financing_agreements,Nasdaq Baltic,,
Decisions of the Shareholder's Meeting of Latvenergo AS,https://view.news.eu.nasdaq.com/view?id=b01f48992165056cf63311ca8e6083fdf&lang=en&src=listed,Latvenergo,2024-09-19 11:42:41+03:00,"In a thrilling showdown on September 17, the Latvenergo AS Shareholder’s Meeting scored a unanimous victory! They greenlit civil liability insurance for the board, laid out a future donation plan, and championed renewable energy projects! Energy innovation is alive and well in Latvia—stay tuned for more electrifying updates!",environmental_social_governance,Nasdaq Baltic,,
Purchase of own shares of Rokiskio Suris AB,https://view.news.eu.nasdaq.com/view?id=bdae0c63c60c82c4af6a220520f026ec2&lang=en&src=notices,Nasdaq Vilnius,2024-09-19 10:03:09+03:00,"Get ready for the action! From September 23 to 27, 2024, Rokiskio Suris AB goes for a buyback showdown at EUR 2.20 per share. With a maximum of 3.2 million shares up for grabs, excitement builds before the final uncross at 15:45 EEST. Don’t miss the thrill!",shares_issue,Nasdaq Baltic,,
The new EPSO-G independent board member was elected,https://view.news.eu.nasdaq.com/view?id=b741ff89ab6aa777a8118c585fc717b20&lang=en&src=listed,EPSO-G,2024-09-19 09:45:00+03:00,"In an electrifying move, EPSO-G scores big with the appointment of Rasa Balevičienė to its board, effective September 18, 2024! The energy powerhouse, backed by Lithuania's Ministry of Energy, is set to energize its strategy with new leadership. Stay tuned for powerful plays ahead!",management_change,Nasdaq Baltic,,
Primary placement auction of additional offers of Lithuanian Government Eurobonds,https://view.news.eu.nasdaq.com/view?id=be9334529c1e8b854950289a61a92b2e4&lang=en&src=notices,Nasdaq Vilnius,2024-09-19 09:41:52+03:00,"Get ready for a financial showdown! On September 30, 2024, Lithuania's government hits the auction block with Eurobonds! Participants can bid competitively or non-competitively, aiming to secure their share of up to €5 million! Don’t miss out on this thrilling investment opportunity!",bond_fixing,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 18, 2024",https://view.news.eu.nasdaq.com/view?id=b04888ecb1d0d87c1b11e71162c89f4dd&lang=en&src=listed,Nter Asset Management,2024-09-19 09:37:56+03:00,"In an electrifying turn of events, the OMX Baltic Benchmark Fund is in the spotlight! As of September 18, 2024, the share price stands at a solid 12.5964 EUR, with 125,362 units ready for action—no shares issued or redeemed. Stay tuned for more thrilling updates!",fund_data_announcement,Nasdaq Baltic,,
Enlight Research sketches possible scenarios for sale of INVL Technology,https://view.news.eu.nasdaq.com/view?id=b52ca3b8da8145dbf85f06845b1b62d23&lang=en&src=listed,INVL Technology,2024-09-19 09:14:00+03:00,"In an electrifying update, Enlight Research reveals INVL Technology's shares soaring as it targets a strategic divestiture! With a net asset value of EUR 43.95 million, excitement builds for potential exits before year-end, promising swift returns for shareholders. Can they capitalize on this game-winning play? Stay tuned!",analyst_coverage,Nasdaq Baltic,,
"AS VIRŠI-A acquires 20% of the capital shares of the biomethane plant SIA Livland Biomethane""",https://view.news.eu.nasdaq.com/view?id=b2564db5f0c0c843885a87e7f8a5b5553&lang=en&src=listed,VIRŠI-A,2024-09-18 18:48:06+03:00,"In a power move, AS Virši-A has snagged 20% of Livland Biomethane, shaking up the ownership game! With ambitions to become the top player, Virši's Jānis Vība is making waves, while Jānis Bethers steps in as board chairman, steering a biomethane revolution powered by cutting-edge technology!",mergers_acquisitions,Nasdaq Baltic,,
JSC Development Finance Institution Altum - Decisions Passed by Extraordinary Shareholders' Meeting,https://view.news.eu.nasdaq.com/view?id=ba84fb9e4b5efb2ebeca5abff94f45ebc&lang=en&src=listed,Attīstības finanšu institūcija Altum,2024-09-18 17:01:49+03:00,"In a thrilling showdown at Dome Square 4, ALTUM’s extraordinary shareholders’ meeting took center stage! Key moves included appointing a new Acting Head of Internal Audit and approving the budget for 2024-2025. With strategic partnerships and financial victories on the horizon, ALTUM is primed for a powerhouse performance!",management_change,Nasdaq Baltic,,
On the acquisition of own shares of Rokiškio sūris AB,https://view.news.eu.nasdaq.com/view?id=b9d5f2cd8935711f050364c3982aa8bdd&lang=en&src=listed,Rokiskio Suris,2024-09-18 16:28:55+03:00,"In a bold move, Rokiškio sūris AB's management seizes the spotlight, announcing a thrilling buyback of over 3.2 million shares at EUR 2.20 each! Following Fonterra's exit from its capital, this strategic play ensures all shareholders get their shot. Game on for Rokiškio’s future!",shares_issue,Nasdaq Baltic,,
Information about shares issued by INVL Technology and votes granted,https://view.news.eu.nasdaq.com/view?id=b641b667a9998c53ddfc3f67336370d46&lang=en&src=listed,INVL Technology,2024-09-18 16:02:00+03:00,"In a thrilling move, INVL Technology has just dropped 206 shares into the hands of subsidiary employees, igniting excitement and potential for the future! Stay tuned as managing partner Kazimieras Tonkūnas prepares to share more electrifying details! Game on!",shares_issue,Nasdaq Baltic,,
Procedure for listing of BluOr Bank AS bonds initiated,https://view.news.eu.nasdaq.com/view?id=b41fc1781b096121b65d7246fd261ac64&lang=en&src=notices,Nasdaq Riga,2024-09-18 15:54:55+03:00,"In a thrilling development, Nasdaq Riga gears up for a potential game-changer as BluOr Bank AS slams down a bold bond listing application! The excitement is palpable as the Management Board prepares to announce its resolution. Stay tuned for the latest play-by-play in Baltic finance!",bond_fixing,Nasdaq Baltic,,
Changes in the Supervisory Board of Mainor Ülemiste AS,https://view.news.eu.nasdaq.com/view?id=b7740c94bb33dcc82eeab9a3eb6696804&lang=en&src=listed,Mainor Ülemiste,2024-09-18 15:13:01+03:00,"In a thrilling reshuffle, Mainor Ülemiste AS unveils a revamped Supervisory Board! With Guido Pärnits at the helm, the team is set to elevate Ülemiste City, the Baltic's largest business hub, housing 500 companies and 17,000 residents. Get ready for explosive growth in this dynamic district!",management_change,Nasdaq Baltic,,
"Construction contract (Apartment building in Ovruch, Ukraine)",https://view.news.eu.nasdaq.com/view?id=be25d16c172785252f6271310081ead2f&lang=en&src=listed,Nordecon,2024-09-18 14:00:00+03:00,"In a thrilling development, Nordecon AS, alongside Eurocon Ukraine TOV, has clinched a €1.8 million contract to transform a building into an apartment complex for displaced persons in Ovruch, Ukraine! With a 275-day timeline, this highlights Nordecon's commitment to impactful construction. Let the action begin!",capital_investment,Nasdaq Baltic,,
Listing of Baltic Horizon Fund additional fund units on Baltic Fund List,https://view.news.eu.nasdaq.com/view?id=be5ea6da7c8628bec5c910b8d4b392172&lang=en&src=notices,Nasdaq Tallinn,2024-09-18 13:12:49+03:00,"In a thrilling development for investors, Nasdaq Tallinn has just greenlit the listing of 23,927,085 additional units from the Baltic Horizon Fund! Mark your calendars for September 20, 2024, as a total of 143,562,514 units will hit the trading floor under the code NHCBHFFT! Excitement in the air!",shares_issue,Nasdaq Baltic,,
“Sostinės bokštai“ announces the signing of the first lease agreements for the Hero business center,https://view.news.eu.nasdaq.com/view?id=b82671d8ceba4259d9a4d9927d771927a&lang=en&src=listed,Sostinės bokštai,2024-09-18 11:57:01+03:00,"Excitement is building in Vilnius as ""Sostinių bokštai"" announces the first leases at the Hero business center! With NooN restaurant and Eureka school signing on, the ambitious project is taking shape ahead of its 2025 opening. A stunning €112 million investment promises a towering future for this CBD gem!",capital_investment,Nasdaq Baltic,,
Novaturas presents next summer destinations and the widest range of travels in the region,https://view.news.eu.nasdaq.com/view?id=b8200bee349cfceeee8b503a9416d81f3&lang=en&src=listed,Novaturas,2024-09-18 10:00:00+03:00,"Ladies and gentlemen, brace yourselves! Novaturas Group, the heavyweights of Baltic travel, just dropped their thrilling 2025 summer holiday programme! With 26 seasons under their belt, they're set to thrill adventurers with an array of spectacular destinations and enticing perks. Get ready to unlock your next unforgettable getaway!",calendar_of_events,Nasdaq Baltic,,
"DelfinGroup bond issue is 1.5 times oversubscribed, demand reaches 22.3 million euros",https://view.news.eu.nasdaq.com/view?id=b4e5c4392333c63facdae718587a16e28&lang=en&src=listed,DelfinGroup,2024-09-18 09:37:05+03:00,"In a thrilling financial showdown, DelfinGroup crushes its bond offering goal, raising €15 million at 10% interest with a staggering €22.3 million in demand from over 2,700 investors! Chairman Didzis Ādmīdiņš celebrates a booming sign of confidence, calling it a home-run for their solid business strategy!",bond_fixing,Nasdaq Baltic,,
INVL BSGF Co-Invest Fund II established,https://view.news.eu.nasdaq.com/view?id=b03e131c60ca57b2ebd27a1d4c8cb2679&lang=en&src=listed,Invalda INVL,2024-09-18 09:15:00+03:00,"Ladies and gentlemen, the INVL Asset Management team is back in action, launching the INVL BSGF Co-Invest Fund II! With the Baltic Sea Growth Fund scoring big with its 10th portfolio investment, investors are lined up—minimum entry: €125,000! Don’t miss this chance to join the winning team!",fund_data_announcement,Nasdaq Baltic,,
KN Energies subsidiary starts operations in Germany,https://view.news.eu.nasdaq.com/view?id=b6db905acfe8f97c623ff04c4873edf80&lang=en&src=listed,KN Energies,2024-09-18 09:00:00+03:00,"In an exciting play, AB KN Energies has scored big with the launch of KN Energies Deutschland GmbH! This new subsidiary aims to power up the Wilhelmshaven 2 floating LNG import terminal, curating a dream team of specialists as they embark on an active recruitment blitz. Game on in Germany!",geographic_expansion,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 17, 2024",https://view.news.eu.nasdaq.com/view?id=b36c27a1f4a9e022f35ef5913729d20ee&lang=en&src=listed,Nter Asset Management,2024-09-18 08:11:34+03:00,"In a thrilling update from Vilnius, the OMX Baltic Benchmark Fund hits the scoreboard with a share price of 12.6048 EUR! As of September 17, no shares were issued or redeemed, keeping the excitement focused on the impressive 125,362 shares trading! Stay tuned for more action!",fund_data_announcement,Nasdaq Baltic,,
On Transactions under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b3df985df6e0d4d776eba42e51e8991ff&lang=en&src=listed,SAF Tehnika,2024-09-17 17:14:20+03:00,"In a thrilling move, JSC “SAF Tehnika” has struck a deal with “Koka zirgs” Ltd, elevating its game on Nasdaq Riga! This ISO-certified star in wireless data transmission continues to shine, expanding its reach across 130 countries. Get ready for more action from Latvia’s tech powerhouse!",mergers_acquisitions,Nasdaq Baltic,,
